"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0xd3477d037d69a570057c89834a983e8deb726fe747f85107a879fec32de46682","14096288","1643401247","2022-01-28 20:20:47","0x7abe0ce388281d2acf297cb089caef3819b13448","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","1,999,890","$2,000,591.16","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xfb67472950f25919aaa1c97dc8141af612e443fdd61e042154ccb8969700caed","14096324","1643401728","2022-01-28 20:28:48","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","2,999,993.1","$3,001,044.90","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xf3ce957468b4c40e4504dc59c60d9b86baaedc6e943a47ab01b1c46134e4b5f9","14097198","1643413184","2022-01-28 23:39:44","0x79e6996fbba76db355a431105adc225dd71d8aaa","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","1,999,950","$2,000,651.19","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xb9b838fcbb73b57f368f9db16ac7a1a27312a195c4a8e38d80a13ebfc6754851","14098019","1643423916","2022-01-29 02:38:36","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","0x8ecd103a700f4265a0f0262646acc04b3dbe05c9","380,000,000","$381,186,015.95","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xc0a0028f37e83e9751c19f22a2762e651fb16e63a348999f9ccef42f6903cdc4","14114888","1643648802","2022-01-31 17:06:42","0x559e86798417f06c8fa187a5600659ecc585ed99","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","7,172,620","$7,180,470.00","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x6b744f5a8fcd31a076be9f3eb36c9a216ec481b52c70283bab637182fc15faac","14118557","1643696907","2022-02-01 06:28:27","0xa81011ae274ef6debd3bdab634102c7b6c2c452d","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","10,045.027","$10,059.54","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xb68e6eed5e102e93ec6ae3ad33ab29218165b9a8771ad6d2e16059f2c2f06488","14120760","1643727438","2022-02-01 14:57:18","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","8","$8.01","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x4ed46f1cb1c5c2db17cb82224492ccb0e2cc34b4356d8d8d398a7a65071494f9","14120997","1643730493","2022-02-01 15:48:13","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","999,992","$1,000,643.38","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x68f7440e36b321cffbfaec371d8c2d501fc334d7c17a68ec4616b5ec789a3844","14131703","1643873687","2022-02-03 07:34:47","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","1,000,000","$1,001,820.53","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xf281dd84d058582587aa4587ee32f9d51e0ac721e74039eb3297cf5a1386587b","14161821","1644274632","2022-02-07 22:57:12","0x559e86798417f06c8fa187a5600659ecc585ed99","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","2,965,045","$2,966,588.33","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xde16186bea70189c4d5660e491b8685f66b7953c3d04e4cc5415abdf6ef90996","14179475","1644511817","2022-02-10 16:50:17","0x559e86798417f06c8fa187a5600659ecc585ed99","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","762,335","$763,819.60","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x4cfb11801669df291d759471613bcb34df358e8dc911acca2a5fb21bfb585342","14181811","1644542830","2022-02-11 01:27:10","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","0x9f0c9e98ef0785ead15d00bbacf75e20216d2e53","10,045.027","$10,065.57","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
